model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,9,9,9,0,4.32161,2.615719,0.333333,2.0,62.222222,0.221776,0.233155,-0.061901,-0.061901,0.295056,0.333333,0.555556,0.333333,0.555556,1.0,3.6,4.2,7.666667,1,9
turtle_soup,valid,4,4,4,0,5.159901,3.753002,0.0,2.0,60.0,-1.0,-0.25,-0.678962,-0.678962,0.428962,0.0,0.5,0.0,1.0,1.0,1.75,1.5,,0,4
