model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,long,2,2,2,0,0.327869,0.327869,0.0,0.087623,78.0,-1.0,-1.0,-1.033322,-1.033322,0.033322,0.0,0.033322,0.0,0.0,0.0,1.0,1.0,1.5,,,1,2
ict2022_mss_fvg,short,2,2,2,0,2.499785,2.499785,1.0,2.0,78.0,2.0,1.5,1.447221,1.447221,0.058919,-0.006141,0.052779,1.0,1.0,1.0,0.0,1.0,,11.5,17.5,0,2
