model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,152,134,18,82,70,2.454364,1.489208,2.072842,1.186317,0.761194,0.634328,0.373134,0.592105,0.559701,0.313433,3.0,BTCUSDT,1h
Entry Model 1,ETHUSDT,155,140,15,78,77,2.024219,1.247851,2.037544,1.33337,0.764286,0.55,0.371429,0.63871,0.442857,0.278571,2.825806,ETHUSDT,1h
Entry Model 1,SOLUSDT,146,122,23,63,83,2.33764,1.367903,1.974749,1.2417,0.770492,0.598361,0.311475,0.657534,0.47541,0.221311,2.794521,SOLUSDT,4h
Entry Model 2,BTCUSDT,105,88,17,50,55,2.231743,0.994237,1.874647,1.31506,0.715909,0.488636,0.284091,0.590476,0.420455,0.238636,3.67619,BTCUSDT,1h
Entry Model 2,ETHUSDT,110,96,13,56,54,1.900445,0.896127,1.516009,0.942149,0.6875,0.479167,0.291667,0.5,0.447917,0.25,3.372727,ETHUSDT,1h
Entry Model 2,SOLUSDT,104,93,11,47,57,2.230765,1.241223,2.173293,1.316456,0.784946,0.537634,0.376344,0.625,0.397849,0.258065,3.346154,SOLUSDT,1h
