model,htf_location,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,unknown,453,396,56,223,230,2.266332,1.411135,2.030142,1.266667,0.765152,0.593434,0.353535,0.629139,0.492424,0.272727,2.874172,BTCUSDT,4h
Entry Model 2,unknown,319,277,41,153,166,2.116596,1.013072,1.850621,1.049913,0.729242,0.501805,0.31769,0.570533,0.422383,0.249097,3.46395,BTCUSDT,1h
