model,dealing_range_source,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,long_swing_pair,3,3,0,0,3,0,0.086189,0.078344,0.256488,0.26163,0.0,0.0,0.0,0.0,0.0,0.0,4.666667,BTCUSDT,30m
Entry Model 3,significant_swing_pair,1,1,0,0,1,0,0.052436,0.052436,0.25019,0.25019,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BTCUSDT,1h
