model,rr_to_objective,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,1_5_2_0,2,2,0,0,2,0,0.046396,0.046396,0.253917,0.253917,0.0,0.0,0.0,0.0,0.0,0.0,4.5,BTCUSDT,30m
Entry Model 3,gte_2_0,2,2,0,0,2,0,0.109106,0.109106,0.25591,0.25591,0.0,0.0,0.0,0.0,0.0,0.0,4.5,BTCUSDT,30m
