model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,468,468,468,0,9.807903,6.499491,0.288462,7.076246,68.119658,1.098014,0.470542,-0.212503,-0.212503,0.683029,1.6e-05,0.683045,0.288462,0.728632,0.58547,0.685897,1.0,3.64486,1.1261,1.328467,227,119
turtle_soup,short,488,488,488,0,10.804592,7.137162,0.293033,8.073115,69.508197,0.815518,0.463744,-0.283826,-0.283826,0.747626,-5.6e-05,0.74757,0.293033,0.723361,0.577869,0.680328,1.0,3.153614,1.1983,1.319149,252,98
