model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,20,20,20,0,4.718368,3.717055,0.7,1.56679,73.5,0.358804,0.539126,0.321651,0.321651,0.217475,0.0,0.217475,0.7,0.65,0.2,0.3,1.0,3.333333,2.461538,2.25,2,17
turtle_soup,short,30,30,30,0,3.19594,2.392156,0.666667,1.794283,74.0,0.219762,0.576009,0.426112,0.426112,0.149896,0.0,0.149896,0.666667,0.633333,0.2,0.333333,1.0,4.4,1.631579,1.333333,3,25
