model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,25,25,25,0,4.102753,2.898323,0.76,1.445402,73.2,0.278339,0.570414,0.42424,0.42424,0.146173,0.0,0.146173,0.76,0.56,0.08,0.24,1.0,6.0,2.214286,1.5,1,22
turtle_soup,valid,25,25,25,0,3.507068,2.469999,0.6,1.961169,74.4,0.272419,0.552097,0.344415,0.344415,0.207682,0.0,0.207682,0.6,0.72,0.32,0.4,1.0,2.8,1.777778,1.75,4,20
