model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,strong,312,312,106,0,25.57812,7.407186,0.153846,4.51222,67.711538,0.653807,0.550858,-0.342948,-0.342948,0.303616,4.8e-05,0.303665,0.153846,0.205128,0.147436,0.185897,7.0,2.603448,2.28125,1.152174,30,183
ifvg_retest,valid,201,201,87,0,19.927482,9.499795,0.174129,5.132478,63.547264,0.454142,0.395609,-0.723969,-0.723969,0.484593,0.0,0.484593,0.174129,0.233831,0.139303,0.258706,5.641791,2.480769,1.893617,1.0,30,108
