model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,958,958,958,0,11.048179,7.728883,0.273486,7.906698,72.212944,1.087369,0.455295,-0.282841,-0.282841,0.738033,0.000102,0.738136,0.273486,0.72547,0.61691,0.705637,1.0,3.523669,1.126619,1.27242,541,41
turtle_soup,medium,428,428,428,0,5.823638,3.311524,0.537383,1.769802,53.925234,0.402342,0.468918,0.143646,0.143646,0.325089,0.000183,0.325272,0.537383,0.700935,0.350467,0.455607,1.0,3.482051,1.44,2.113333,72,428
