model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,14,14,14,0,4.818108,1.87449,0.428571,2.0,80.0,0.475029,0.541926,0.390864,0.390864,0.151063,0.428571,0.714286,0.428571,0.5,1.0,4.142857,5.5,9.5,1,14
turtle_soup,short,16,16,16,0,2.060267,1.380134,0.125,2.0,80.0,-0.523363,-0.170571,-0.314584,-0.314584,0.144014,0.125,0.4375,0.125,0.8125,1.0,4.923077,1.571429,3.5,0,16
