model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,07:00-10:00,6,6,6,0,1.065447,0.992552,0.333333,0.747775,79.666667,-0.601952,-0.601952,-0.664308,-0.664308,0.062356,0.0,0.062356,0.333333,0.0,0.0,0.666667,1.0,2.5,,,1,6
ict2022_mss_fvg,13:30-16:00,5,5,5,0,0.397518,0.227052,0.2,1.261736,88.0,-0.742158,-0.671079,-0.694626,-0.694626,0.023173,0.000375,0.023548,0.2,0.2,0.0,0.8,1.2,6.0,1.0,,1,5
