model,direction,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long,1247,1068,179,1247,0,4.829478,1.416052,4.790391,1.306204,0.797753,0.627341,0.375468,0.643945,0.5103,0.276217,4.858059,BTCUSDT,30m
Entry Model 1,short,977,844,133,0,977,3.07138,1.385206,2.879981,1.401311,0.760664,0.585308,0.364929,0.661208,0.471564,0.270142,4.757421,ETHUSDT,15m
Entry Model 2,long,2190,1843,347,2190,0,3.259324,1.62201,3.336403,1.76891,0.793814,0.648942,0.43299,0.705936,0.478568,0.296799,4.896804,ETHUSDT,30m
Entry Model 2,short,1746,1473,273,0,1746,3.661588,1.622256,3.860136,1.899459,0.77461,0.619823,0.435166,0.745704,0.45146,0.289206,4.816724,ETHUSDT,5m
Entry Model 3,long,95,94,1,95,0,7.128856,3.814786,7.759348,4.603134,0.893617,0.829787,0.734043,0.947368,0.553191,0.382979,4.968421,ETHUSDT,30m
Entry Model 3,short,85,85,0,0,85,6.70401,3.2,7.57645,5.68973,0.835294,0.788235,0.682353,0.894118,0.494118,0.376471,4.988235,ETHUSDT,30m
