model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,1153,987,166,646,507,4.589645,1.392364,3.742302,1.359157,0.793313,0.617021,0.375887,0.666088,0.497467,0.272543,4.830009,BTCUSDT,30m
Entry Model 1,ETHUSDT,1071,925,146,601,470,3.48124,1.416176,4.165609,1.31235,0.768649,0.6,0.365405,0.635854,0.488649,0.274595,4.796452,ETHUSDT,15m
Entry Model 2,BTCUSDT,1951,1641,310,1100,851,3.306813,1.588295,3.560137,1.823762,0.757465,0.617916,0.428397,0.732957,0.443023,0.277879,4.86981,BTCUSDT,15m
Entry Model 2,ETHUSDT,1985,1675,310,1090,895,3.566551,1.662265,3.577783,1.840122,0.812537,0.653731,0.439403,0.714358,0.489552,0.308657,4.852897,ETHUSDT,5m
Entry Model 3,BTCUSDT,75,75,0,45,30,5.550575,3.444268,6.569722,4.497769,0.92,0.88,0.773333,0.92,0.56,0.4,5.0,BTCUSDT,30m
Entry Model 3,ETHUSDT,105,104,1,50,55,7.91981,3.335105,8.467767,5.70711,0.826923,0.759615,0.663462,0.92381,0.5,0.365385,4.961905,ETHUSDT,30m
