model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,199,199,199,0,13.425223,7.285928,0.356784,6.336726,72.713568,1.483114,0.457286,-0.12184,-0.12184,0.577906,0.00122,0.579126,0.356784,0.728643,0.59799,0.633166,1.0,2.746032,1.137931,1.092437,103,11
turtle_soup,medium,147,147,147,0,6.001906,3.235684,0.530612,1.727557,54.013605,0.393646,0.443416,0.177066,0.177066,0.266478,-0.000128,0.26635,0.530612,0.680272,0.360544,0.44898,1.0,2.909091,1.26,2.207547,25,147
