model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,ny_open,279,279,279,0,3.178465,1.950055,0.25448,2.0,62.473118,-0.055251,0.042511,-0.152037,-0.152037,0.194547,0.25448,0.476703,0.25448,0.655914,1.0,3.52459,3.12782,5.239437,26,279
turtle_soup,ny_pm,33,33,33,0,2.905063,2.116057,0.151515,2.0,61.818182,-0.408071,-0.092907,-0.299377,-0.299377,0.20647,0.151515,0.424242,0.151515,0.787879,1.0,6.115385,4.571429,3.4,5,33
