model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,38,38,38,0,2.712057,1.958606,0.236842,2.0,80.0,-0.248248,-0.274564,-0.478869,-0.478869,0.204305,0.236842,0.342105,0.236842,0.736842,1.0,2.714286,2.307692,4.333333,2,38
turtle_soup,medium,274,274,274,0,3.210221,1.975561,0.244526,2.0,59.963504,-0.070978,0.070175,-0.124455,-0.124455,0.19463,0.244526,0.489051,0.244526,0.660584,1.0,4.022099,3.358209,5.223881,29,274
