scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,1384,1377,0,,19.014057,10.354111,2.0,-0.111387,,,0.29263,0.358382,0.29263,0.700145,0,0,
model,ifvg_retest,0,none,0,1384,1377,0,,19.014057,10.354111,2.0,-0.111387,,,0.29263,0.358382,0.29263,0.700145,0,0,
filtered_model,ifvg_retest,0,model_rules,1384,0,0,0,,,,,,,,,,,,0,0,
filtered_all,ALL,0,model_rules,1384,0,0,0,,,,,,,,,,,,0,0,
all,ALL,70,none,0,0,0,0,,,,,,,,,,,,0,0,
filtered_all,ALL,70,model_rules,0,0,0,0,,,,,,,,,,,,0,0,
