model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
ifvg_retest,long,719,719,715,0,20.412293,10.912265,0.292072,2.0,-0.110935,0.292072,0.361613,0.292072,0.699583,2.065734,1.224652,1.119231,1.390476,0
ifvg_retest,short,665,665,662,0,17.503877,10.072127,0.293233,2.0,-0.111874,0.293233,0.354887,0.293233,0.700752,2.125378,1.195279,1.177966,1.415385,0
