scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,7,7,0,80.0,3.003636,2.120625,2.0,0.938082,0.752029,0.540621,0.540621,0.211408,3.406826,0.571429,0.714286,0.571429,0.285714,0,7,target_rr_below_3:7
model,turtle_soup,0,none,0,7,7,0,80.0,3.003636,2.120625,2.0,0.938082,0.752029,0.540621,0.540621,0.211408,3.406826,0.571429,0.714286,0.571429,0.285714,0,7,target_rr_below_3:7
filtered_model,turtle_soup,0,model_rules,0,7,7,0,80.0,3.003636,2.120625,2.0,0.938082,0.752029,0.540621,0.540621,0.211408,3.406826,0.571429,0.714286,0.571429,0.285714,0,7,target_rr_below_3:7
filtered_all,ALL,0,model_rules,0,7,7,0,80.0,3.003636,2.120625,2.0,0.938082,0.752029,0.540621,0.540621,0.211408,3.406826,0.571429,0.714286,0.571429,0.285714,0,7,target_rr_below_3:7
