model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,commission_bps,slippage_bps,round_trip_cost_bps,execution_cost_r,gross_managed_outcome_r,net_managed_outcome_r,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,session_type,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_objective_level,htf_draw_direction,htf_objective_unreached,htf_context_alignment,bias_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,is_in_p_d,has_smt_confirmation,smt_detected,smt_direction,smt_pair,smt_strength,smt_timestamp,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,range_source,asian_range_window,asian_range_tz,asian_range_date,asian_range_start,asian_range_end,asian_range_high,asian_range_low,asian_range_width_bps,asian_sweep_breach_bps,asian_first_signal_only,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,turtle_soup_min_stop_applied,turtle_soup_min_stop_bps,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,invalidated_at,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,short,BTCUSDT,30m,1733841000000,1733841000000,1733842800000,1733841000000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,97837.7,97837.7,97837.7,98340.16754000001,98340.16754000001,96832.76491999997,97335.23245999998,96832.76491999997,96832.76491999997,2.0,sweep_extreme,98320.6,0.5,1.0,True,tp_hit,502.4675400000124,51.35725185690305,4.0,1.0,10.0,0.194714,1.5,1.305286,conservative,False,True,False,False,08:30-12:00,2024-12-10,ny_open,,2024-12-10 09:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1733841000000,80,high,20,5,5,0,0,20,20,10,target_rr_below_3,True,"long,short",,,,98197.8,98320.6,,,asian_range,00:00-08:00,UTC,2024-12-10,1733788800000,1733817600000,98197.8,95591.9,268.941022,12.505372,True,,,,,,valid,False,,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,1,1,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2024-12-10"", ""asian_range_end"": 1733817600000, ""asian_range_high"": 98197.8, ""asian_range_low"": 95591.9, ""asian_range_start"": 1733788800000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 268.941022, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 12.505372, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 36.67088264706601, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 97837.7, ""entry_time"": 1733841000000, ""exit_reason"": null, ""final_target"": 96832.76491999997, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 98320.6, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2024-12-10 09:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 502.4675400000124, ""risk_bps"": 51.35725185690305, ""rr_to_target"": 2.0, ""session_date"": ""2024-12-10"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1733841000000, ""stop_loss"": 98340.16754000001, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 98320.6, ""sweep_time"": 1733841000000, ""swept_level"": 98197.8, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 97335.23245999998, ""tp2_price"": 96832.76491999997, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.306312, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.250188, ""wick_extension"": 122.80000000000291, ""wick_fraction"": 0.104457}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 12.50537181077406}",7.109314961917558,0.5988446537262911,False,,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1745415000000,1745415000000,1745416800000,1745415000000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,92992.0,92992.0,92992.0,94922.8984,94922.8984,89130.20319999999,91061.1016,89130.20319999999,89130.20319999999,2.0,sweep_extreme,94904.3,0.5,1.0,False,horizon_close,1930.8984000000055,207.64134549208592,4.0,1.0,10.0,0.04816,-0.2357969740924751,-0.283957,conservative,False,True,False,False,08:30-12:00,2025-04-23,ny_open,,2025-04-23 09:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1745415000000,80,high,20,5,5,0,0,20,20,10,target_rr_below_3,True,"long,short",,,,94453.0,94904.3,,,asian_range,00:00-08:00,UTC,2025-04-23,1745366400000,1745395200000,94453.0,92552.0,203.310072,47.780378,True,,,,,,valid,False,,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-04-23"", ""asian_range_end"": 1745395200000, ""asian_range_high"": 94453.0, ""asian_range_low"": 92552.0, ""asian_range_start"": 1745366400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 203.310072, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 47.780378, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 154.68010544927105, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 92992.0, ""entry_time"": 1745415000000, ""exit_reason"": null, ""final_target"": 89130.20319999999, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 94904.3, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-04-23 09:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 1930.8984000000055, ""risk_bps"": 207.64134549208592, ""rr_to_target"": 2.0, ""session_date"": ""2025-04-23"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1745415000000, ""stop_loss"": 94922.8984, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 94904.3, ""sweep_time"": 1745415000000, ""swept_level"": 94453.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 91061.1016, ""tp2_price"": 89130.20319999999, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.708742, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 1.223981, ""wick_extension"": 451.3000000000029, ""wick_fraction"": 0.218929}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 47.78037754227001}",0.5665756416805757,0.6142218565202585,False,,False,False,False,False,False,1.0,-0.2357969740924751,horizon_close,False,False,False
turtle_soup,ict,short,BTCUSDT,30m,1747411200000,1747411200000,1747413000000,1747411200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,103903.0,103903.0,103903.0,104544.9806,104544.9806,102619.03880000001,103261.0194,102619.03880000001,102619.03880000001,2.0,sweep_extreme,104524.2,0.5,1.0,True,tp_hit,641.9805999999953,61.78653166896002,4.0,1.0,10.0,0.161848,1.5,1.338152,conservative,False,True,False,False,08:30-12:00,2025-05-16,ny_open,,2025-05-16 12:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,0.338784,1747411200000,80,high,20,5,5,0,0,20,20,10,target_rr_below_3,True,"long,short",,,,104440.1,104524.2,,,asian_range,00:00-08:00,UTC,2025-05-16,1747353600000,1747382400000,104440.1,103062.3,132.798464,8.052463,True,,,,,,valid,False,,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,16,19,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-05-16"", ""asian_range_end"": 1747382400000, ""asian_range_high"": 104440.1, ""asian_range_low"": 103062.3, ""asian_range_start"": 1747353600000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 132.798464, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 8.052463, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 51.426607213130374, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 103903.0, ""entry_time"": 1747411200000, ""exit_reason"": null, ""final_target"": 102619.03880000001, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 104524.2, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-16 12:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 641.9805999999953, ""risk_bps"": 61.78653166896002, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-16"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.338784, ""smt_timestamp"": 1747411200000, ""stop_loss"": 104544.9806, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 104524.2, ""sweep_time"": 1747411200000, ""swept_level"": 104440.1, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 103261.0194, ""tp2_price"": 102619.03880000001, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.860599, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.247371, ""wick_extension"": 84.09999999999127, ""wick_fraction"": 0.134754}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 8.052462607752316}",2.1206248288499747,0.7071864788437584,False,,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1748273400000,1748273400000,1748275200000,1748273400000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,109963.2,109963.2,109963.2,110421.99264,110421.99264,109045.61472,109504.40736,109045.61472,109045.61472,2.0,sweep_extreme,110400.0,0.5,1.0,True,tp_hit,458.79263999999966,41.72237985071366,4.0,1.0,10.0,0.23968,1.5,1.26032,conservative,False,True,False,False,08:30-12:00,2025-05-26,ny_open,,2025-05-26 11:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1748273400000,80,high,20,5,5,0,0,20,20,10,target_rr_below_3,True,"long,short",,,,110197.9,110400.0,,,asian_range,00:00-08:00,UTC,2025-05-26,1748217600000,1748246400000,110197.9,108616.6,144.533383,18.339732,True,,,,,,strong,False,,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,1,1,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-05-26"", ""asian_range_end"": 1748246400000, ""asian_range_high"": 110197.9, ""asian_range_low"": 108616.6, ""asian_range_start"": 1748217600000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 144.533383, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 18.339732, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 21.298046514497745, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 109963.2, ""entry_time"": 1748273400000, ""exit_reason"": null, ""final_target"": 109045.61472, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 110400.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-26 11:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 458.79263999999966, ""risk_bps"": 41.72237985071366, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-26"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1748273400000, ""stop_loss"": 110421.99264, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 110400.0, ""sweep_time"": 1748273400000, ""swept_level"": 110197.9, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 109504.40736, ""tp2_price"": 109045.61472, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.416135, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.643692, ""wick_extension"": 202.10000000000582, ""wick_fraction"": 0.358333}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 18.339732426843508}",5.504011572635513,0.9405120361128729,False,,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
turtle_soup,ict,long,BTCUSDT,30m,1749904200000,1749904200000,1749906000000,1749904200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,105000.1,105000.1,105000.1,104635.99998,104635.99998,105728.30004000003,105364.20002000002,105728.30004000003,105728.30004000003,2.0,sweep_extreme,104657.0,0.5,1.0,False,sl_hit,364.1000200000126,34.6761593560399,4.0,1.0,10.0,0.288383,-1.0,-1.288383,conservative,False,True,False,False,08:30-12:00,2025-06-14,ny_open,,2025-06-14 08:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bullish,BTCUSDT:ETHUSDT,0.629293,1749904200000,80,high,20,5,5,0,0,20,20,10,target_rr_below_3,True,"long,short",,,,104738.7,104657.0,,,asian_range,00:00-08:00,UTC,2025-06-14,1749859200000,1749888000000,106173.6,104738.7,136.066033,7.800364,True,,,,,,valid,False,,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,6,,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-06-14"", ""asian_range_end"": 1749888000000, ""asian_range_high"": 106173.6, ""asian_range_low"": 104738.7, ""asian_range_start"": 1749859200000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 136.066033, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 7.800364, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 24.957346234009847, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 105000.1, ""entry_time"": 1749904200000, ""exit_reason"": null, ""final_target"": 105728.30004000003, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 104657.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-06-14 08:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 364.1000200000126, ""risk_bps"": 34.6761593560399, ""rr_to_target"": 2.0, ""session_date"": ""2025-06-14"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.629293, ""smt_timestamp"": 1749904200000, ""stop_loss"": 104635.99998, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 104657.0, ""sweep_time"": 1749904200000, ""swept_level"": 104738.7, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 105364.20002000002, ""tp2_price"": 105728.30004000003, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.749427, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.447868, ""wick_extension"": 81.69999999999709, ""wick_fraction"": 0.234232}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 7.800364144294048}",1.7162866401379835,2.127712050111903,True,,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
