model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,6,6,5,1,21.76619,12.456588,0.333333,8.091252,97.833333,3.62341,0.333333,0.5,0.5,0.5,4.0,1.333333,1.0,1.0,0,6
breaker_block,insufficient_displacement;target_rr_below_2,4,4,1,3,16.018189,16.018189,0.0,0.698506,84.25,-1.0,0.0,0.0,0.0,0.25,14.0,1.0,,,0,4
breaker_block,poor_pd_location;insufficient_displacement,2,2,0,1,,,0.0,6.800344,90.0,,0.0,0.0,0.0,0.0,,,,,0,2
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_2,9,9,5,4,14.875259,5.039347,0.333333,0.786289,67.333333,0.287749,0.333333,0.222222,0.222222,0.222222,5.555556,1.0,1.0,1.0,0,9
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_3,3,3,3,0,10.729159,12.643023,0.666667,2.51662,78.666667,1.366605,0.666667,0.666667,0.666667,0.333333,10.0,1.0,1.0,1.0,0,3
ict2022_mss_fvg,poor_pd_location,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,equilibrium;target_rr_below_2,1,1,1,0,8.549972,8.549972,0.0,0.58218,85.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
ifvg_retest,none,6,6,5,0,19.159692,7.6555,0.0,9.260165,100.0,-1.0,0.0,0.166667,0.166667,0.833333,5.0,1.4,1.0,1.0,0,0
ifvg_retest,poor_pd_location,8,8,8,0,26.142128,19.765201,0.0,7.089026,98.875,-1.0,0.0,0.0,0.0,1.0,3.5,1.0,,,0,8
ifvg_retest,poor_pd_location;target_rr_below_2,6,6,6,0,10.904316,7.499549,0.333333,1.055469,88.166667,-0.257719,0.333333,0.333333,0.333333,0.666667,2.5,1.0,1.0,1.5,0,6
ifvg_retest,target_rr_below_2,6,6,6,0,11.98967,1.342104,0.166667,0.989293,100.0,-0.609488,0.166667,0.166667,0.0,0.833333,4.0,1.2,1.0,,0,6
mitigation_block,equilibrium,1,1,1,0,0.623866,0.623866,0.0,5.846346,90.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
mitigation_block,equilibrium;target_rr_below_3,1,1,1,0,0.724469,0.724469,0.0,2.25054,80.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
mitigation_block,poor_pd_location,1,1,1,0,2.86229,2.86229,0.0,3.880602,82.0,-1.0,0.0,1.0,1.0,1.0,1.0,17.0,2.0,12.0,0,1
mitigation_block,poor_pd_location;target_rr_below_2,39,39,39,0,2.332197,2.017137,0.666667,0.380982,69.692308,-0.125893,0.666667,0.358974,0.282051,0.333333,1.0,2.615385,5.214286,6.0,0,39
mitigation_block,poor_pd_location;target_rr_below_3,4,4,4,0,0.524828,0.027391,0.25,2.0,80.0,-0.25,0.25,0.25,0.25,0.75,1.0,2.0,7.0,11.0,0,4
mitigation_block,target_rr_below_2,10,10,10,0,1.888324,0.0,0.2,0.580406,78.0,-0.718536,0.2,0.1,0.0,0.8,1.0,1.0,2.0,,0,10
reclaimed_ob,poor_pd_location;target_rr_below_2,5,5,5,0,11.572328,13.034875,0.8,0.95876,70.0,0.404391,0.8,1.0,0.6,0.2,2.4,3.0,1.0,1.0,0,5
reclaimed_ob,poor_pd_location;target_rr_below_3,1,1,1,0,20.751717,20.751717,1.0,2.501932,80.0,2.501932,1.0,1.0,1.0,0.0,3.0,,1.0,1.0,0,1
reclaimed_ob,target_rr_below_3,1,1,1,0,3.044922,3.044922,0.0,2.467692,95.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
rejection_block,equilibrium,1,1,1,0,3.473238,3.473238,0.0,7.478269,90.0,-1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0,1
rejection_block,equilibrium;target_rr_below_2,1,1,1,0,13.215163,13.215163,1.0,1.690697,70.0,1.690697,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,none,7,7,7,0,2.13008,1.467037,0.0,4.397245,90.714286,-0.338638,0.0,0.285714,0.142857,0.857143,1.0,2.5,1.0,2.0,0,0
rejection_block,poor_pd_location,4,4,4,0,4.800735,3.872974,0.0,6.69843,84.0,0.233539,0.0,0.25,0.25,0.75,1.0,1.0,5.0,6.0,0,4
rejection_block,poor_pd_location;target_rr_below_2,28,28,28,0,7.890158,6.855958,0.785714,0.883431,65.571429,0.35521,0.785714,0.642857,0.071429,0.214286,1.0,3.333333,1.111111,1.0,0,28
rejection_block,poor_pd_location;target_rr_below_3,3,3,3,0,5.317989,3.141921,1.0,2.216035,77.333333,2.216035,1.0,1.0,1.0,0.0,1.0,,2.0,2.333333,0,3
rejection_block,target_rr_below_2,11,11,11,0,4.082632,2.059705,0.636364,1.25447,83.0,0.790948,0.636364,0.818182,0.0,0.181818,1.0,1.0,4.777778,,0,11
rejection_block,target_rr_below_3,2,2,2,0,5.333325,5.333325,0.0,2.643802,88.5,-1.0,0.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,0,2
