model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,4,4,4,0,1.88864,1.715099,0.5,2.0,80.0,0.864494,0.472923,-0.044973,-0.044973,0.517896,0.5,0.5,0.5,0.25,1.0,4.0,1.0,2.5,0,4
turtle_soup,short,8,8,8,0,3.082527,3.7112,0.5,2.0,80.0,0.5,0.625,0.295624,0.295624,0.329376,0.5,0.75,0.5,0.5,1.0,5.75,2.0,1.25,0,8
