model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,15m,7,7,7,0,1.848106,1.046724,0.285714,2.0,80.0,0.065425,0.055956,-0.450159,-0.450159,0.506114,0.285714,0.428571,0.285714,0.571429,1.0,4.0,1.333333,2.0,0,7
turtle_soup,1h,5,5,5,0,3.855608,4.364205,0.8,2.0,80.0,1.4,1.3,1.067242,1.067242,0.232758,0.8,1.0,0.8,0.2,1.0,11.0,2.0,1.5,0,5
