phase,start_date,end_date,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,max_drawdown_r,win_rate,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,session_overtrade_count,passed,failed_gates
overall,2022-04-08,2026-03-30,41,41,0.397213,0.581667,3.383915,2.929426,0.804878,0.184454,0.0,0.184454,8,False,max_trades_per_session;min_managed_expectancy_r;min_profit_factor
train,2022-04-08,2023-07-11,14,14,0.0902,0.29435,1.233558,2.929426,0.642857,0.20415,0.0,0.20415,3,False,min_managed_expectancy_r;min_profit_factor
validation,2023-07-11,2024-05-18,15,15,0.299628,0.467377,2.779129,1.135624,0.8,0.16775,0.0,0.16775,4,False,min_managed_expectancy_r
test,2024-06-01,2026-03-30,14,14,0.675498,0.853567,277.948897,0.034147,0.928571,0.178069,0.0,0.178069,2,True,
