scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,24,100,False,66.666667,0.189275,0.759323,0.950821,0.189275,1.597195,3.635298,4.542604,0.105474,0.001476,0.106949
filtered_all,ALL,model_rules,0,2,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
by_model,turtle_soup,model_rules,0,0,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
by_symbol,BTCUSDT,model_rules,0,0,11,100,False,54.545455,-0.079414,0.598867,0.893351,-0.079414,0.804433,3.635298,-0.873549,0.137524,-0.000704,0.13682
by_symbol,LINKUSDT,model_rules,0,0,7,100,False,71.428571,0.339142,0.893527,1.04682,0.339142,2.133908,2.093641,2.373996,0.087737,0.001692,0.089429
by_symbol,XRPUSDT,model_rules,0,0,4,100,False,75.0,0.272234,0.711703,1.046174,0.272234,2.040873,1.046174,1.088934,0.089417,0.007829,0.097246
by_timeframe,1h,model_rules,0,0,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
by_direction,long,model_rules,0,0,15,100,False,66.666667,0.172873,0.69754,0.876461,0.172873,1.591718,1.446644,2.593089,0.099397,0.008162,0.107559
by_direction,short,model_rules,0,0,7,100,False,57.142857,-0.00053,0.805139,1.074754,-0.00053,0.99885,2.291686,-0.003708,0.141948,-0.012431,0.129517
by_htf_bias,none,model_rules,0,0,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
by_htf_context_alignment,neutral,model_rules,0,0,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
by_htf_draw_direction,none,model_rules,0,0,22,100,False,63.636364,0.117699,0.728282,0.950821,0.117699,1.340414,3.635298,2.589381,0.112936,0.00161,0.114546
