model,target_mode,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,nearest_liquidity,24,24,14,9,16.529494,9.821366,0.291667,3.315362,81.083333,1.618258,0.291667,0.291667,0.291667,0.291667,7.1,1.142857,1.0,1.0,0,24
ict2022_mss_fvg,htf_external_liquidity,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,nearest_liquidity,27,27,26,0,17.34036,8.102736,0.111111,4.63422,96.481481,-0.738586,0.111111,0.148148,0.111111,0.851852,3.576923,1.130435,1.0,1.333333,0,21
mitigation_block,nearest_liquidity,56,56,56,0,2.074087,1.192588,0.517857,0.725712,72.678571,-0.287414,0.517857,0.303571,0.232143,0.482143,1.0,2.666667,4.941176,6.846154,0,56
reclaimed_ob,nearest_liquidity,7,7,7,0,11.665468,13.034875,0.714286,1.394775,75.0,0.503412,0.714286,0.857143,0.571429,0.285714,2.428571,2.0,1.0,1.0,0,7
rejection_block,nearest_liquidity,57,57,57,0,6.022033,3.934155,0.578947,2.056392,75.245614,0.395593,0.578947,0.649123,0.175439,0.350877,1.0,2.6,2.162162,2.0,0,50
silver_bullet,fixed_r,6,6,6,0,2.541757,2.108015,0.333333,2.0,68.0,0.299089,0.333333,0.666667,0.333333,0.5,1.0,10.333333,2.75,12.5,0,6
turtle_soup,opposite_range,113,113,113,0,4.350611,2.843218,0.159292,6.130359,46.725664,0.189722,0.159292,0.469027,0.292035,0.769912,1.0,3.367816,2.584906,4.727273,0,23
