model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
rejection_block,discount,14,14,7,0,1.756086,1.855134,0.071429,9.957259,93.928571,-0.149919,-0.112669,-0.265205,-0.265205,0.076268,0.071429,0.285714,0.214286,0.357143,3.25,6.2,2.25,5.333333,1,3
rejection_block,premium,38,38,11,0,3.72959,2.99517,0.0,37.509085,100.0,-1.0,-0.290909,-0.591726,-0.591726,0.087079,0.0,0.157895,0.026316,0.289474,4.129032,3.181818,2.166667,5.0,2,0
