model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,143,143,143,0,4.271309,2.20702,0.433566,2.505858,77.202797,0.356517,0.297034,0.144541,0.144541,0.148804,0.003688,0.152492,0.433566,0.517483,0.202797,0.496503,1.0,4.140845,4.189189,2.482759,18,101
turtle_soup,short,124,124,124,0,4.017449,2.558378,0.459677,2.708315,75.806452,0.132076,0.262271,0.104239,0.104239,0.161439,-0.003407,0.158031,0.459677,0.508065,0.177419,0.524194,1.0,3.953846,1.825397,1.909091,17,94
