model,timeframe,count,avg_mfe_r,median_mfe_r,target_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count
breaker_block,15m,1,0.0,0.0,0.0,1.0,0
breaker_block,1h,2,46.447344,46.447344,0.5,0.5,0
breaker_block,1m,88,1.662807,1.287183,0.409091,0.590909,0
breaker_block,30m,146,10.863162,4.869305,0.452055,0.547945,0
breaker_block,5m,142,5.853584,4.145212,0.380282,0.612676,0
ict2022_mss_fvg,1m,37,1.264692,0.907887,0.594595,0.243243,0
ict2022_mss_fvg,30m,14,4.280642,3.382093,0.571429,0.285714,0
ict2022_mss_fvg,5m,21,2.529682,1.585766,0.761905,0.190476,0
ifvg_retest,15m,83,18.448832,10.751013,0.409639,0.590361,0
ifvg_retest,1h,24,23.607128,15.341347,0.375,0.625,0
ifvg_retest,1m,85,2.472179,1.703693,0.258824,0.705882,0
ifvg_retest,30m,63,24.398356,16.030898,0.492063,0.507937,0
ifvg_retest,5m,96,12.457132,9.221211,0.354167,0.635417,0
reclaimed_ob,15m,1,0.0,0.0,0.0,1.0,0
reclaimed_ob,1h,1,12.362539,12.362539,0.0,1.0,0
reclaimed_ob,1m,17,3.604898,2.023639,0.941176,0.058824,0
reclaimed_ob,30m,2,3.887474,3.887474,0.0,1.0,0
reclaimed_ob,5m,6,5.655038,4.582957,0.5,0.5,0
silver_bullet,15m,10,4.304655,3.858343,0.5,0.4,0
silver_bullet,1h,4,4.802896,2.425134,0.5,0.25,0
silver_bullet,1m,19,0.645886,0.616599,0.052632,0.315789,0
silver_bullet,30m,9,1.467536,1.007509,0.444444,0.333333,0
silver_bullet,5m,8,6.916785,0.581417,0.375,0.5,0
turtle_soup,15m,813,4.809698,2.518765,0.159902,0.772448,0
turtle_soup,1h,224,3.781641,2.063138,0.071429,0.866071,0
turtle_soup,1m,176,1.476709,1.263149,0.142045,0.551136,0
turtle_soup,30m,495,6.844998,4.090421,0.189899,0.729293,0
turtle_soup,5m,492,4.154012,2.784643,0.138211,0.719512,0
