model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
reclaimed_ob,discount,7,7,1,1,1.324589,1.324589,0.0,6.82487,96.428571,-1.0,0.5,0.5,0.0,0.142857,0.0,0.142857,2.142857,2.0,1.0,,0,3
reclaimed_ob,premium,3,3,0,0,,,0.0,82.15589,100.0,,,,0.0,0.0,0.0,0.0,2.666667,,,,0,0
