model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,long,7,7,4,0,3.690693,1.529003,0.285714,2.917882,98.857143,0.701518,0.285714,0.428571,0.142857,0.285714,4.5,2.0,1.0,1.0,0,4
ifvg_retest,short,8,8,1,0,30.150513,30.150513,0.125,2.964442,100.0,11.146421,0.125,0.125,0.125,0.0,6.625,,1.0,1.0,0,5
reclaimed_ob,long,3,3,1,0,36.524943,36.524943,0.333333,3.415342,91.333333,1.033878,0.333333,0.333333,0.333333,0.0,1.666667,,1.0,1.0,0,2
reclaimed_ob,short,6,6,2,0,11.648321,11.648321,0.166667,1.920704,92.5,-0.14446,0.166667,0.166667,0.166667,0.166667,1.833333,1.0,1.0,1.0,0,4
rejection_block,long,6,6,6,0,3.278649,3.541359,0.166667,1.764987,86.0,-0.602101,0.166667,0.5,0.166667,0.833333,1.0,3.2,1.333333,1.0,0,6
rejection_block,short,19,19,19,0,2.744763,1.340261,0.421053,2.189148,94.210526,-0.045867,0.421053,0.210526,0.157895,0.578947,1.0,1.909091,1.0,1.333333,0,14
