section,bucket,threshold,filter_name,trade_count,retention_pct,min_trades,sample_valid,win_rate_pct,avg_realized_rr,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,expectancy_delta_vs_all,win_rate_delta_vs_all,avg_realized_rr_delta_vs_all,verdict
baseline,all,0,model_rules,47,100.0,100,False,70.212766,0.229941,0.229941,1.721375,4.602275,10.807242,0.0,0.0,0.0,insufficient_sample
htf_context_alignment,neutral,0,model_rules,47,100.0,100,False,70.212766,0.229941,0.229941,1.721375,4.602275,10.807242,0.0,0.0,0.0,insufficient_sample
htf_bias_relation,neutral_or_missing,0,model_rules,47,100.0,100,False,70.212766,0.229941,0.229941,1.721375,4.602275,10.807242,0.0,0.0,0.0,insufficient_sample
htf_draw_relation,neutral_or_missing,0,model_rules,47,100.0,100,False,70.212766,0.229941,0.229941,1.721375,4.602275,10.807242,0.0,0.0,0.0,insufficient_sample
htf_bias,none,0,model_rules,47,100.0,100,False,70.212766,0.229941,0.229941,1.721375,4.602275,10.807242,0.0,0.0,0.0,insufficient_sample
