symbol,timeframe,path,candles,start,end,expected_candles,coverage_pct,max_gap_bars,passes,missing_reason
BTCUSDT,30m,data\history_oos_2022-01-01_2024-11-05\BTCUSDT_30m.csv,49920,2022-01-01,2024-11-05,49920,100.0,1.0,True,
ETHUSDT,30m,data\history_oos_2022-01-01_2024-11-05\ETHUSDT_30m.csv,49920,2022-01-01,2024-11-05,49920,100.0,1.0,True,
