model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,34,34,20,12,31.515561,12.217261,0.294118,7.662043,61.529412,2.912408,0.294118,0.411765,0.382353,0.294118,5.4,1.9,1.0,1.0,0,34
breaker_block,insufficient_displacement;target_rr_below_2,104,104,81,18,13.171663,9.041209,0.557692,0.896654,42.230769,0.299756,0.557692,0.567308,0.461538,0.221154,2.819149,1.130435,1.033898,1.0,0,104
breaker_block,insufficient_displacement;target_rr_below_3,15,15,12,3,20.035068,14.464524,0.533333,2.54407,50.666667,1.220384,0.533333,0.6,0.533333,0.266667,2.928571,1.25,1.0,1.0,0,15
ifvg_retest,none,98,98,92,0,26.393736,16.874769,0.102041,12.013114,77.438776,-0.32338,0.102041,0.193878,0.193878,0.826531,2.858696,1.308642,1.0,1.105263,0,0
ifvg_retest,target_rr_below_2,67,67,64,0,20.795392,9.901517,0.38806,0.878751,59.343284,-0.240622,0.38806,0.373134,0.328358,0.567164,3.5625,1.157895,1.0,1.0,0,67
ifvg_retest,target_rr_below_3,19,19,18,0,26.889404,7.098989,0.421053,2.456506,70.631579,0.480856,0.421053,0.526316,0.526316,0.526316,3.277778,1.5,1.0,1.6,0,19
mitigation_block,none,32,32,32,0,2.9943,1.035708,0.15625,5.4997,62.375,-0.228391,0.15625,0.1875,0.15625,0.84375,1.0,2.37037,2.666667,6.0,0,0
mitigation_block,target_rr_below_2,809,809,809,0,2.274354,1.346411,0.463535,0.514595,40.744129,-0.306036,0.463535,0.236094,0.064277,0.530284,1.0,2.377622,2.942408,3.365385,0,809
mitigation_block,target_rr_below_3,126,126,126,0,3.713046,1.832899,0.261905,2.054408,51.809524,0.088992,0.261905,0.396825,0.261905,0.587302,1.0,4.324324,4.72,6.212121,0,126
reclaimed_ob,none,1,1,1,0,28.328284,28.328284,1.0,3.372819,58.0,3.372819,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
reclaimed_ob,target_rr_below_2,12,12,10,2,14.03675,11.004815,0.666667,0.925114,43.0,0.634005,0.666667,0.666667,0.666667,0.166667,1.25,1.0,1.0,1.0,0,12
reclaimed_ob,target_rr_below_3,1,1,1,0,32.762451,32.762451,0.0,2.812228,48.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
rejection_block,none,148,148,148,0,7.68825,5.85744,0.256757,5.297002,61.243243,0.599037,0.256757,0.662162,0.533784,0.695946,1.0,2.893204,1.122449,1.911392,0,0
rejection_block,target_rr_below_2,409,409,409,0,5.531567,3.634384,0.691932,0.902712,41.667482,0.267125,0.691932,0.557457,0.227384,0.298289,1.0,2.188525,1.394737,1.698925,0,409
rejection_block,target_rr_below_3,112,112,112,0,5.189417,3.742427,0.4375,2.402576,52.821429,0.524101,0.4375,0.732143,0.5625,0.544643,1.0,3.311475,1.292683,3.079365,0,112
silver_bullet,target_rr_below_3,26,26,26,0,1.179953,0.854455,0.115385,2.0,68.0,-0.191782,0.115385,0.384615,0.115385,0.615385,1.0,9.1875,4.8,7.666667,0,26
turtle_soup,none,1504,1504,1504,0,5.308127,3.602672,0.104388,8.854535,50.0,0.26854,0.104388,0.462101,0.335771,0.790559,1.0,3.714886,2.132374,3.90099,0,0
turtle_soup,target_rr_below_2,238,238,238,0,2.270251,1.669115,0.483193,1.201731,30.0,0.115014,0.483193,0.415966,0.142857,0.445378,1.0,4.254717,4.181818,4.5,0,238
turtle_soup,target_rr_below_3,200,200,200,0,3.211575,2.437744,0.315,2.53302,40.0,0.327002,0.315,0.52,0.37,0.605,1.0,4.090909,3.673077,5.608108,0,200
