model,htf_alignment,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,aligned,18,17,1,15,3,2.999146,1.266862,1.670858,1.208745,0.647059,0.588235,0.411765,0.555556,0.470588,0.294118,4.0,BTCUSDT,1h
Entry Model 1,neutral,3,2,1,3,0,0.59045,0.59045,0.885802,0.885802,0.5,0.5,0.0,0.666667,0.5,0.0,3.333333,SOLUSDT,4h
Entry Model 2,aligned,29,26,3,27,2,1.875565,0.981252,2.014703,1.394942,0.692308,0.461538,0.384615,0.62069,0.346154,0.307692,4.034483,ETHUSDT,1h
Entry Model 2,neutral,4,3,1,4,0,2.32163,0.944518,0.68647,0.436372,1.0,0.333333,0.333333,0.5,0.333333,0.333333,2.75,SOLUSDT,1h
