model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,1,0,1,1,0,,,,,,,,1.0,,,3.0,,
Entry Model 1,FVG,7,6,1,7,0,1.15185,0.96145,0.889131,0.784128,0.666667,0.5,0.166667,0.285714,0.5,0.166667,4.0,SOLUSDT,1h
Entry Model 1,IFVG,13,13,0,10,3,3.481175,1.164921,1.910877,1.406756,0.615385,0.615385,0.461538,0.692308,0.461538,0.307692,3.923077,BTCUSDT,1h
Entry Model 2,Breaker,3,2,1,3,0,0.226829,0.226829,10.307317,10.307317,0.0,0.0,0.0,1.0,0.0,0.0,3.333333,SOLUSDT,1h
Entry Model 2,FVG,10,9,1,10,0,1.876854,1.411268,1.22334,0.973392,0.777778,0.555556,0.444444,0.5,0.333333,0.333333,4.2,SOLUSDT,1h
Entry Model 2,IFVG,17,17,0,15,2,2.223072,0.995602,1.300023,1.349882,0.764706,0.470588,0.411765,0.588235,0.411765,0.352941,3.764706,ETHUSDT,1h
Entry Model 2,PD,3,1,2,3,0,0.592028,0.592028,0.716611,0.716611,1.0,0.0,0.0,0.666667,0.0,0.0,4.0,ETHUSDT,1h
