model,score_bucket,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,high,18,17,1,15,3,2.994699,1.266862,1.68066,1.375378,0.647059,0.588235,0.411765,0.555556,0.470588,0.294118,4.055556,BTCUSDT,1h
Entry Model 1,medium,3,2,1,3,0,0.628251,0.628251,0.802486,0.802486,0.5,0.5,0.0,0.666667,0.5,0.0,3.0,SOLUSDT,4h
Entry Model 2,high,26,23,3,24,2,2.053154,0.995602,2.037454,1.31831,0.73913,0.478261,0.434783,0.576923,0.347826,0.347826,4.153846,ETHUSDT,1h
Entry Model 2,low,1,0,1,1,0,,,,,,,,1.0,,,2.0,,
Entry Model 2,medium,6,6,0,6,0,1.417844,0.738001,1.263375,1.313334,0.666667,0.333333,0.166667,0.666667,0.333333,0.166667,3.0,SOLUSDT,1h
