model,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,21,19,2,18,3,2.745599,1.164921,1.588221,1.208745,0.631579,0.578947,0.368421,0.571429,0.473684,0.263158,3.904762,BTCUSDT,1h
Entry Model 2,33,29,4,31,2,1.92171,0.966903,1.8773,1.31831,0.724138,0.448276,0.37931,0.606061,0.344828,0.310345,3.878788,ETHUSDT,1h
