model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,10:00-11:00,2,2,2,0,1.52353,1.52353,0.5,2.0,100.0,1.480186,1.230186,1.108836,1.108836,0.12135,0.5,0.5,0.5,0.0,1.0,,26.0,31.0,0,0
silver_bullet,14:00-15:00,2,2,2,0,3.037338,3.037338,0.5,2.0,100.0,0.5,1.0,0.747537,0.747537,0.252464,0.5,1.0,0.5,0.5,1.0,2.0,2.5,5.0,0,0
