scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
model,silver_bullet,0,none,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
filtered_model,silver_bullet,0,model_rules,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
filtered_all,ALL,0,model_rules,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
all,ALL,70,none,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
model,silver_bullet,70,none,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
filtered_model,silver_bullet,70,model_rules,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
filtered_all,ALL,70,model_rules,0,4,4,0,100.0,2.280434,2.20633,2.0,0.990093,1.115093,0.928186,0.928186,0.186907,,0.5,0.75,0.5,0.25,0,0,
