model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,157,157,157,0,7.743865,5.25808,0.146497,4.44427,72.611465,-0.497131,-0.173359,-0.173359,0.146497,0.414013,0.229299,0.840764,1.0,3.340909,2.092308,3.472222,43,47
turtle_soup,medium,277,277,277,0,4.625449,2.970748,0.425993,1.342906,52.382671,-0.114094,0.003612,0.003612,0.425993,0.400722,0.137184,0.566787,1.0,3.063694,2.315315,3.447368,20,277
