model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,235,235,235,0,5.159316,2.970748,0.340426,2.220285,58.595745,-0.237009,-0.110084,-0.110084,0.340426,0.361702,0.140426,0.646809,1.0,3.539474,2.564706,3.242424,21,188
turtle_soup,valid,199,199,199,0,6.455261,4.247881,0.306533,2.753609,61.005025,-0.271139,-0.001745,-0.001745,0.306533,0.457286,0.20603,0.688442,1.0,2.80292,1.923077,3.634146,42,136
