model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,230,230,230,0,5.19249,3.103847,0.33913,2.377727,59.130435,-0.268124,-0.020567,-0.020567,0.33913,0.417391,0.169565,0.652174,1.0,3.44,2.25,3.358974,34,178
turtle_soup,short,204,204,204,0,6.386094,3.961691,0.308824,2.56303,60.343137,-0.235221,-0.105326,-0.105326,0.308824,0.392157,0.171569,0.681373,1.0,2.920863,2.2125,3.571429,29,146
