model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-05-12,02:00-03:00,2,2,2,0,10.047929,10.047929,1.0,2.533712,60.0,2.533712,1.766856,1.766856,1.0,1.0,1.0,0.0,1.0,,1.5,1.5,0,2
turtle_soup,2025-05-12,07:00-08:00,4,4,4,0,11.261013,9.928551,0.75,0.776824,50.0,0.501009,0.500504,0.500504,0.75,0.75,0.25,0.25,1.0,6.0,2.0,1.0,0,4
turtle_soup,2025-05-12,10:00-11:00,1,1,1,0,7.369374,7.369374,1.0,0.597246,50.0,0.597246,0.798623,0.798623,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-13,07:00-08:00,1,1,1,0,2.389976,2.389976,0.0,4.19788,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2025-05-13,10:00-11:00,3,3,3,0,1.660613,1.990489,0.666667,0.808439,56.666667,0.077535,0.09439,0.09439,0.666667,0.333333,0.0,0.333333,1.0,4.0,7.0,,0,3
turtle_soup,2025-05-14,02:00-03:00,7,7,7,0,7.820419,6.207954,0.285714,1.660242,61.428571,-0.617775,-0.572087,-0.572087,0.285714,0.142857,0.0,0.714286,1.0,1.2,1.0,,1,5
turtle_soup,2025-05-14,07:00-08:00,2,2,2,0,10.822548,10.822548,0.5,2.334362,60.0,-0.208905,-0.208905,-0.208905,0.5,0.0,0.0,0.5,1.0,1.0,,,1,1
turtle_soup,2025-05-15,07:00-08:00,4,4,4,0,6.757174,6.644937,0.0,4.903572,75.0,-1.0,-0.25,-0.25,0.0,0.5,0.5,1.0,1.0,5.0,3.0,4.0,2,0
turtle_soup,2025-05-15,10:00-11:00,2,2,2,0,2.040104,2.040104,1.0,0.788178,50.0,0.788178,0.72275,0.72275,1.0,0.5,0.0,0.0,1.0,,3.0,,0,2
turtle_soup,2025-05-16,02:00-03:00,6,6,6,0,6.252999,7.369285,0.5,2.505009,55.0,0.081062,0.290531,0.290531,0.5,0.666667,0.0,0.5,1.0,1.333333,1.25,,0,5
turtle_soup,2025-05-16,07:00-08:00,2,2,2,0,6.313664,6.313664,0.0,2.740237,80.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,1
turtle_soup,2025-05-16,10:00-11:00,5,5,5,0,2.652943,2.845791,0.8,0.752786,58.0,0.392553,0.418776,0.418776,0.8,0.6,0.4,0.2,1.0,1.0,1.0,1.0,0,5
turtle_soup,2025-05-17,02:00-03:00,4,4,4,0,1.612415,0.93564,0.0,1.163967,50.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.75,,,0,4
turtle_soup,2025-05-17,07:00-08:00,2,2,2,0,2.477292,2.477292,0.0,1.931091,75.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,5.0,5.0,,1,2
turtle_soup,2025-05-17,10:00-11:00,3,3,3,0,3.165988,2.927061,0.333333,2.975005,63.333333,-0.423688,-0.378511,-0.378511,0.333333,0.333333,0.0,0.666667,1.0,1.0,3.0,,0,1
turtle_soup,2025-05-18,02:00-03:00,1,1,1,0,18.313758,18.313758,1.0,1.156558,70.0,1.156558,1.078279,1.078279,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2025-05-18,07:00-08:00,1,1,1,0,0.693082,0.693082,0.0,4.5891,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,8.0,,,0,0
turtle_soup,2025-05-19,02:00-03:00,2,2,2,0,2.968268,2.968268,0.0,7.512776,80.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,11.0,2.0,,0,0
turtle_soup,2025-05-19,07:00-08:00,2,2,2,0,14.454655,14.454655,0.0,1.542012,70.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.5,,,0,2
turtle_soup,2025-05-20,02:00-03:00,4,4,4,0,2.646704,2.34213,0.0,1.254753,50.0,-1.0,-0.25,-0.25,0.0,0.5,0.0,1.0,1.0,2.0,1.5,,3,4
turtle_soup,2025-05-20,07:00-08:00,2,2,2,0,6.799414,6.799414,0.5,1.085704,50.0,-0.166393,-0.083196,-0.083196,0.5,0.5,0.0,0.5,1.0,2.0,1.0,,0,2
turtle_soup,2025-05-20,10:00-11:00,5,5,5,0,5.594961,7.731136,0.6,1.338732,56.0,0.180079,0.346434,0.346434,0.6,0.4,0.2,0.4,1.0,2.5,2.5,5.0,0,4
turtle_soup,2025-05-21,02:00-03:00,1,1,1,0,3.015501,3.015501,1.0,2.252278,60.0,2.252278,1.626139,1.626139,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-05-21,07:00-08:00,3,3,3,0,17.157616,13.28647,0.0,3.444397,63.333333,-1.0,0.0,0.0,0.0,0.666667,0.333333,1.0,1.0,4.333333,3.0,1.0,0,2
turtle_soup,2025-05-21,10:00-11:00,2,2,2,0,5.16795,5.16795,0.5,0.798065,60.0,-0.354299,0.572851,0.572851,0.5,1.0,0.0,0.5,1.0,2.0,1.0,,1,2
turtle_soup,2025-05-22,02:00-03:00,2,2,2,0,2.140578,2.140578,0.0,5.873152,70.0,-1.0,-0.25,-0.25,0.0,0.5,0.5,1.0,1.0,3.5,1.0,3.0,1,0
turtle_soup,2025-05-22,07:00-08:00,3,3,3,0,1.406315,1.181758,0.333333,0.741546,50.0,-0.560571,-0.560571,-0.560571,0.333333,0.0,0.0,0.666667,1.0,2.0,,,0,3
turtle_soup,2025-05-22,10:00-11:00,5,5,5,0,2.073295,1.263933,0.2,1.085789,52.0,-0.695646,-0.695646,-0.695646,0.2,0.0,0.0,0.8,1.0,1.25,,,0,5
turtle_soup,2025-05-23,02:00-03:00,3,3,3,0,3.773932,4.019152,0.333333,2.437031,60.0,-0.284001,0.191333,0.191333,0.333333,0.666667,0.0,0.666667,1.0,1.5,4.5,,0,2
turtle_soup,2025-05-23,07:00-08:00,2,2,2,0,16.959958,16.959958,1.0,2.246188,60.0,2.246188,1.623094,1.623094,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,2
turtle_soup,2025-05-24,02:00-03:00,2,2,2,0,6.547252,6.547252,0.0,6.137021,60.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-05-25,02:00-03:00,4,4,4,0,7.796861,4.903847,0.25,2.048805,55.0,-0.371321,-0.060661,-0.060661,0.25,0.5,0.25,0.75,1.0,1.666667,1.0,3.0,1,4
turtle_soup,2025-05-25,07:00-08:00,2,2,2,0,3.544045,3.544045,0.0,5.393101,70.0,-1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,14.0,2.0,3.5,2,0
turtle_soup,2025-05-25,10:00-11:00,3,3,3,0,4.583206,4.457067,0.666667,1.712313,56.666667,1.061954,0.697643,0.697643,0.666667,0.666667,0.333333,0.333333,1.0,2.0,2.0,1.0,0,2
turtle_soup,2025-05-26,02:00-03:00,1,1,1,0,0.894898,0.894898,0.0,1.122954,50.0,0.894898,0.894898,0.894898,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-26,07:00-08:00,6,6,6,0,5.828762,5.842879,0.333333,1.413761,51.666667,-0.341569,-0.087451,-0.087451,0.333333,0.5,0.166667,0.666667,1.0,2.5,3.333333,7.0,0,6
turtle_soup,2025-05-26,10:00-11:00,7,7,7,0,5.554047,5.870648,0.428571,1.453773,54.285714,-0.111161,0.265837,0.265837,0.428571,0.428571,0.0,0.571429,1.0,2.0,1.0,,1,7
turtle_soup,2025-05-27,02:00-03:00,5,5,5,0,5.624729,6.968267,0.2,1.601541,66.0,-0.550259,-0.57513,-0.57513,0.2,0.2,0.0,0.8,1.0,2.25,1.0,,0,5
turtle_soup,2025-05-27,07:00-08:00,3,3,3,0,11.932033,12.172702,0.666667,2.343445,60.0,0.794459,0.530457,0.530457,0.666667,0.333333,0.333333,0.333333,1.0,1.0,2.0,2.0,0,2
turtle_soup,2025-05-27,10:00-11:00,3,3,3,0,1.316909,1.363174,1.0,0.243101,56.666667,0.243101,0.477849,0.477849,1.0,0.666667,0.0,0.0,1.0,,1.5,,0,3
turtle_soup,2025-05-28,02:00-03:00,3,3,3,0,1.804701,1.39733,0.0,1.538457,53.333333,-1.0,-0.5,-0.5,0.0,0.333333,0.333333,1.0,1.0,7.0,2.0,5.0,2,3
turtle_soup,2025-05-28,07:00-08:00,5,5,5,0,12.667753,13.657123,0.2,1.656195,68.0,-0.426206,-0.513103,-0.513103,0.2,0.2,0.0,0.8,1.0,2.25,1.0,,0,5
