model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,18,18,15,3,11.074071,5.468782,0.666667,1.288231,43.555556,0.420124,0.666667,0.666667,0.611111,0.166667,4.823529,1.0,1.0,1.0,0,18
breaker_block,short,18,18,13,4,18.377249,14.877674,0.555556,2.547788,46.888889,1.923399,0.555556,0.5,0.5,0.166667,4.0,1.0,1.0,1.0,0,18
ifvg_retest,long,17,17,15,0,47.509109,11.165009,0.352941,7.974145,73.882353,0.786009,0.352941,0.352941,0.235294,0.529412,2.8,1.111111,1.166667,1.0,0,7
ifvg_retest,short,19,19,19,0,22.121784,13.313077,0.210526,6.631323,68.0,0.880172,0.210526,0.263158,0.263158,0.789474,5.052632,1.133333,1.0,1.2,0,12
mitigation_block,long,146,146,146,0,2.36901,1.009281,0.424658,0.569011,43.136986,-0.360085,0.424658,0.219178,0.054795,0.527397,1.0,1.909091,1.09375,1.0,0,143
mitigation_block,short,81,81,81,0,2.105817,1.611794,0.432099,0.924875,42.814815,-0.215165,0.432099,0.308642,0.160494,0.567901,1.0,2.086957,1.88,1.923077,0,81
reclaimed_ob,long,2,2,2,0,48.619877,48.619877,0.0,1.603789,53.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
reclaimed_ob,short,1,1,1,0,4.78222,4.78222,1.0,0.633319,38.0,0.633319,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,long,73,73,73,0,5.213374,3.020138,0.657534,2.025398,46.493151,0.577423,0.657534,0.630137,0.383562,0.328767,1.0,2.0,1.478261,2.714286,0,60
rejection_block,short,68,68,68,0,8.090074,5.010324,0.647059,2.414436,47.117647,1.27063,0.647059,0.617647,0.323529,0.323529,1.0,3.727273,1.119048,1.363636,0,54
turtle_soup,long,221,221,221,0,4.310861,2.732444,0.126697,7.929939,46.742081,0.019719,0.126697,0.452489,0.298643,0.764706,1.0,4.071006,3.45,4.727273,0,46
turtle_soup,short,175,175,175,0,3.733467,2.472249,0.148571,8.264461,46.228571,0.317337,0.148571,0.44,0.297143,0.714286,1.0,3.512,2.116883,3.153846,0,40
