model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,15m,1765,1765,1765,0,9.204499,6.095121,0.316147,6.649302,67.688385,0.921374,0.478794,-0.30688,-0.30688,0.785724,-5e-05,0.785674,0.316147,0.734278,0.562606,0.664023,1.0,3.757679,1.224537,1.489426,840,445
turtle_soup,30m,1781,1781,1781,0,10.686406,6.335424,0.321729,6.637843,67.467715,0.768527,0.405225,-0.216659,-0.216659,0.621836,4.8e-05,0.621884,0.321729,0.692308,0.532847,0.658619,1.0,2.999147,1.171938,1.331928,847,555
