model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,02:00-05:00,1118,1118,1118,0,10.642009,7.015026,0.221825,8.705725,69.767442,0.63498,0.480086,-0.319739,-0.319739,0.800089,-0.000263,0.799826,0.221825,0.735242,0.550089,0.750447,1.0,4.234803,1.238443,1.595122,618,193
turtle_soup,07:00-10:00,1800,1800,1800,0,9.800263,6.009628,0.387222,5.438434,66.222222,0.971707,0.430803,-0.22976,-0.22976,0.660402,0.000161,0.660564,0.387222,0.706667,0.546111,0.605556,1.0,2.804587,1.206761,1.299084,784,628
turtle_soup,13:00-16:00,628,628,628,0,9.14043,5.849685,0.296178,6.426488,67.563694,0.853492,0.405406,-0.249164,-0.249164,0.654571,0.0,0.654571,0.296178,0.692675,0.547771,0.66242,1.0,3.153846,1.101149,1.409884,285,179
