scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,11,11,0,78.454545,2.190972,1.34988,0.979037,0.243276,0.155124,0.063057,0.063057,0.088789,0.003277,0.092066,1.20846,0.636364,0.181818,0.090909,0.272727,1,11,target_rr_below_2:7;target_rr_below_3:4;missing_required_killzone:1
model,ict2022_mss_fvg,0,none,0,11,11,0,78.454545,2.190972,1.34988,0.979037,0.243276,0.155124,0.063057,0.063057,0.088789,0.003277,0.092066,1.20846,0.636364,0.181818,0.090909,0.272727,1,11,target_rr_below_2:7;target_rr_below_3:4;missing_required_killzone:1
