model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,strong,8,8,8,0,2.054706,1.139607,0.625,1.19583,80.5,0.364565,0.243356,0.182138,0.182138,0.056712,0.004507,0.061218,0.625,0.25,0.125,0.25,1.625,5.0,6.5,8.0,0,8
ict2022_mss_fvg,valid,3,3,3,0,2.554348,2.102447,0.666667,0.400921,73.0,-0.080162,-0.080162,-0.254491,-0.254491,0.174329,0.0,0.174329,0.666667,0.0,0.0,0.333333,1.0,1.0,,,1,3
