model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,none,1,1,0,0,,,0.0,295.128135,100.0,,,,0.0,0.0,0.0,0.0,15.0,,,,0,0
reclaimed_ob,none,2,2,0,0,,,0.0,13.406408,100.0,,,,0.0,0.0,0.0,0.0,2.0,,,,0,0
reclaimed_ob,target_rr_below_2,1,1,1,0,0.983833,0.983833,1.0,0.24442,100.0,0.24442,0.24442,0.24442,1.0,0.0,0.0,0.0,1.0,,,,0,1
rejection_block,none,58,58,17,0,3.128475,2.889144,0.0,47.729489,99.586207,-0.709456,-0.117647,-0.117647,0.0,0.172414,0.068966,0.275862,3.82,4.125,2.2,5.25,0,0
rejection_block,target_rr_below_2,3,3,1,0,0.134025,0.134025,0.333333,0.147785,79.666667,0.011314,0.011314,0.011314,0.333333,0.0,0.0,0.0,2.0,,,,0,3
