model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,discount,3,3,3,0,0.816019,0.565036,0.0,2.0,100.0,0.29434,-0.022944,-0.220298,-0.220298,0.197354,0.0,0.333333,0.0,0.333333,1.0,3.0,8.0,,0,0
silver_bullet,premium,1,1,1,0,0.350186,0.350186,0.0,2.0,100.0,-1.0,-1.0,-1.102707,-1.102707,0.102707,0.0,0.0,0.0,1.0,1.0,6.0,,,0,0
