model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,long,23,23,23,0,2.773909,1.978347,0.304348,2.0,78.0,-0.021166,0.283182,0.283182,0.304348,0.608696,0.304348,0.652174,1.0,8.666667,8.928571,15.0,0,0
silver_bullet,short,26,26,26,0,2.737472,2.19571,0.423077,2.0,78.0,0.53893,0.59273,0.59273,0.423077,0.653846,0.423077,0.423077,1.0,10.363636,8.764706,12.454545,0,0
