model,range_expansion_bucket,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,1_20_1_50,3,3,0,0,1,2,0.742041,0.793124,2.285884,0.558635,0.666667,0.333333,0.0,0.333333,0.333333,0.0,5.0,BTCUSDT,5m
Entry Model 1,gte_1_50,6,6,0,0,0,6,1.173933,0.726091,1.67818,1.716722,0.666667,0.333333,0.166667,0.5,0.333333,0.166667,5.0,BTCUSDT,5m
Entry Model 2,unknown,40,40,0,0,35,5,7.529311,5.058323,8.320651,6.596325,0.925,0.875,0.775,0.775,0.675,0.575,5.0,BTCUSDT,15m
