model,htf_alignment,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,aligned,8,8,0,0,1,7,0.665514,0.719896,2.115842,1.716722,0.625,0.25,0.0,0.5,0.25,0.0,5.0,BTCUSDT,5m
Entry Model 1,mixed,1,1,0,0,0,1,3.945606,3.945606,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,BTCUSDT,5m
Entry Model 2,aligned,36,36,0,0,32,4,7.594108,4.818961,8.865947,7.46856,0.916667,0.861111,0.75,0.805556,0.666667,0.555556,5.0,BTCUSDT,15m
Entry Model 2,mixed,4,4,0,0,3,1,6.946145,7.563805,3.412987,3.030477,1.0,1.0,1.0,0.5,0.75,0.75,5.0,BTCUSDT,5m
