model,dealing_range_source,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long_swing_pair,2,2,0,0,1,1,2.129318,2.129318,0.129295,0.129295,0.5,0.5,0.5,0.0,0.5,0.5,5.0,BTCUSDT,5m
Entry Model 1,significant_swing_pair,7,7,0,0,0,7,0.715869,0.793124,2.381164,2.537223,0.714286,0.285714,0.0,0.571429,0.285714,0.0,5.0,BTCUSDT,5m
Entry Model 2,long_swing_pair,36,36,0,0,34,2,7.461792,5.091469,8.417172,6.223562,0.944444,0.888889,0.777778,0.777778,0.694444,0.583333,5.0,BTCUSDT,15m
Entry Model 2,significant_swing_pair,4,4,0,0,1,3,8.136986,3.637755,7.451964,9.85005,0.75,0.75,0.75,0.75,0.5,0.5,5.0,BTCUSDT,15m
