model,ifvg_retest_depth,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,unknown,9,9,0,0,1,8,1.029969,0.793124,1.880748,0.896221,0.666667,0.333333,0.111111,0.444444,0.333333,0.111111,5.0,BTCUSDT,5m
Entry Model 2,ce_to_full,4,4,0,0,3,1,3.511972,3.367153,8.993127,8.328586,0.75,0.75,0.75,1.0,0.75,0.75,5.0,BTCUSDT,15m
Entry Model 2,full_plus,1,1,0,0,1,0,9.565475,9.565475,8.243255,8.243255,1.0,1.0,1.0,1.0,0.0,0.0,5.0,BTCUSDT,15m
Entry Model 2,lt_ce,13,13,0,0,12,1,5.482863,4.03328,8.029647,5.921204,0.923077,0.769231,0.538462,0.769231,0.615385,0.461538,5.0,BTCUSDT,15m
Entry Model 2,unknown,22,22,0,0,19,3,9.376449,5.941433,8.373858,6.223562,0.954545,0.954545,0.909091,0.727273,0.727273,0.636364,5.0,BTCUSDT,15m
