model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,2,2,0,0,0,2,2.369365,2.369365,0.279317,0.279317,1.0,0.5,0.5,0.0,0.5,0.5,5.0,BTCUSDT,5m
Entry Model 1,PD,7,7,0,0,1,6,0.647284,0.646668,2.3383,2.537223,0.571429,0.285714,0.0,0.571429,0.285714,0.0,5.0,BTCUSDT,5m
Entry Model 2,Breaker,10,10,0,0,8,2,8.385993,5.55987,7.036273,4.712196,0.9,0.9,0.7,0.6,0.7,0.6,5.0,BTCUSDT,15m
Entry Model 2,FVG,11,11,0,0,11,0,10.374821,6.70211,10.887302,9.026364,0.909091,0.727273,0.636364,0.909091,0.545455,0.363636,5.0,BTCUSDT,15m
Entry Model 2,IFVG,3,3,0,0,3,0,10.563294,10.021221,2.576914,0.139751,1.0,1.0,1.0,0.333333,0.666667,0.666667,5.0,BTCUSDT,5m
Entry Model 2,OB,1,1,0,0,1,0,4.523165,4.523165,18.969667,18.969667,1.0,1.0,1.0,1.0,1.0,1.0,5.0,BTCUSDT,15m
Entry Model 2,PD,15,15,0,0,12,3,4.465096,4.03328,7.733506,5.044765,0.933333,0.933333,0.866667,0.866667,0.733333,0.666667,5.0,BTCUSDT,15m
