model,ifvg_time_to_retest,count,valid_outcome_count,skipped_outcome_count,invalid_risk_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,unknown,9,9,0,0,1,8,1.029969,0.793124,1.880748,0.896221,0.666667,0.333333,0.111111,0.444444,0.333333,0.111111,5.0,BTCUSDT,5m
Entry Model 2,0_5,15,15,0,0,14,1,5.200768,3.900506,7.663444,5.921204,0.933333,0.8,0.6,0.8,0.666667,0.533333,5.0,BTCUSDT,15m
Entry Model 2,16_40,1,1,0,0,0,1,0.0,0.0,9.963306,9.963306,0.0,0.0,0.0,1.0,0.0,0.0,5.0,BTCUSDT,5m
Entry Model 2,6_15,2,2,0,0,2,0,8.439529,8.439529,11.84311,11.84311,1.0,1.0,1.0,1.0,0.5,0.5,5.0,BTCUSDT,15m
Entry Model 2,unknown,22,22,0,0,19,3,9.376449,5.941433,8.373858,6.223562,0.954545,0.954545,0.909091,0.727273,0.727273,0.636364,5.0,BTCUSDT,15m
