phase,start_date,end_date,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,max_drawdown_r,win_rate,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,session_overtrade_count,passed,failed_gates
overall,2026-01-11,2026-02-23,2,2,-0.294086,0.0,0.46898,1.107627,0.5,0.294086,0.0,0.294086,0,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades
test,2026-01-11,2026-02-23,2,2,-0.294086,0.0,0.46898,1.107627,0.5,0.294086,0.0,0.294086,0,False,min_phase_trades;min_managed_expectancy_r;min_profit_factor
