model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
rejection_block,Breaker,18,18,7,0,2.104883,2.47487,0.055556,15.738196,96.055556,-0.619946,-0.276819,-0.401671,-0.401671,0.048553,0.055556,0.166667,0.0,0.333333,4.294118,3.5,4.666667,,1,3
rejection_block,FVG,55,55,20,0,2.655088,1.955887,0.036364,32.610165,98.745455,-0.106207,0.113352,-0.038743,-0.038743,0.055307,0.036364,0.2,0.109091,0.290909,4.377778,5.25,2.454545,3.666667,5,5
rejection_block,IFVG,1,1,0,0,,,0.0,0.372948,77.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0,1
rejection_block,PD,30,30,12,0,2.149795,1.713533,0.0,13.125963,96.5,-0.223856,0.122613,0.013826,0.013826,0.043515,0.0,0.266667,0.066667,0.333333,4.962963,6.4,3.875,3.5,1,6
