time,funding_rate,mark_price
1745193600000,5.232e-05,85142.30088148
1745222400005,5.403e-05,87400.6
1745251200003,1.553e-05,87998.12642222
1745280000008,7.749e-05,87467.8227037
1745308800000,-7.44e-06,88436.16399259
1745337600000,-7.045e-05,90881.1
1745366400000,-1.389e-05,93404.9
1745395200002,1.374e-05,94110.36297318
1745424000000,4.587e-05,93149.55929437
1745452800000,-2.671e-05,93641.27053973
1745481600001,5.21e-05,92167.24875325
1745510400001,-2.165e-05,93148.88519481
1745539200007,-1.764e-05,93931.6
1745568000002,1.7e-06,93734.0
1745596800003,1.2e-06,95000.28830833
1745625600002,-0.00010085,94591.8
1745654400000,-2.774e-05,94523.02069167
1745683200002,2.855e-05,94326.89167892
1745712000001,-1.5e-05,94575.7
1745740800000,-6.6e-06,94027.7
1745769600000,-4.21e-06,93857.8
1745798400001,3.73e-06,93697.0
1745827200003,2.46e-06,94641.5
1745856000005,-5.821e-05,93782.5
1745884800000,-7.73e-06,94969.0
1745913600000,4.13e-06,94877.9
1745942400010,1.305e-05,94800.87365217
1745971200001,-5.181e-05,94211.74500725
1746000000000,2.939e-05,94577.6
1746028800003,-3.797e-05,93961.60732609
1746057600000,3.519e-05,94130.75027536
1746086400000,5.755e-05,94983.01632609
1746115200001,-8.028e-05,96794.89389805
1746144000000,-0.00012232,96433.84531159
1746172800000,-9.382e-05,96302.1
1746201600003,-8.689e-05,97277.00616667
1746230400000,-5.953e-05,96831.65852586
1746259200000,3.198e-05,96290.8
1746288000000,-1.483e-05,96360.13496232
1746316800001,3.7e-06,95819.52819239
1746345600001,3.229e-05,95842.1
1746374400002,3.745e-05,95421.1
1746403200000,-2.404e-05,94240.51430435
1746432000000,3.636e-05,94697.80169565
1746460800006,-2.247e-05,93731.39948913
1746489600002,1.978e-05,94696.8
1746518400005,4.44e-05,94353.53756884
1746547200000,7.57e-06,94511.8
1746576000002,1.218e-05,96794.5
1746604800000,-2.5e-07,96949.17783333
1746633600006,1.32e-05,96888.9
1746662400000,2.318e-05,96990.24909783
1746691200001,4.608e-05,99215.08710145
1746720000002,5.728e-05,100730.9
1746748800001,0.0001,103241.74847826
1746777600006,0.0001,103628.9027029
1746806400000,4.378e-05,102852.4
1746835200001,9.657e-05,102941.8
1746864000000,0.0001,103721.7
1746892800001,4.257e-05,103102.7
1746921600000,0.0001,104789.0
1746950400001,4.15e-05,103336.9
1746979200001,0.0001,104089.06693841
1747008000004,4.454e-05,104072.8
1747036800000,0.0001,104426.2
1747065600000,2.301e-05,102484.98667754
1747094400000,6.847e-05,102739.98641667
1747123200008,0.0001,102624.0
