time,funding_rate,premium
1774292400054,-3.00939e-05,-0.0007815024
1774296000019,-2.11428e-05,-0.0006382848
1774299600090,-1.7352e-05,-0.0005776323
1774303200162,6.25e-06,0.0002522382
1774306800056,1.7021e-06,-0.0002727669
1774310400027,5.668e-06,-0.0002093124
1774314000082,-1.24721e-05,-0.0004995543
1774317600034,-1.51798e-05,-0.0005428768
1774321200000,-1.55603e-05,-0.0005489647
1774324800016,-8.4389e-06,-0.0004350223
1774328400079,-9.115e-06,-0.0004458403
1774332000003,-5.7586e-06,-0.000392138
1774335600088,-1.9606e-06,-0.0003313696
1774339200033,-9.3133e-06,-0.0004490123
1774342800051,1.0941e-06,-0.000282494
1774346400105,1.4493e-06,-0.0002768118
1774350000045,4.3973e-06,-0.0002296433
1774353600096,2.0141e-06,-0.0002677751
1774357200028,-1.02739e-05,-0.0004643819
1774360800089,-2.28879e-05,-0.0006662068
1774364400033,-2.17875e-05,-0.0006486007
1774368000039,-1.38591e-05,-0.0005217456
1774371600061,-2.91386e-05,-0.000766217
1774375200062,-2.1116e-05,-0.0006378557
1774378800040,-1.13846e-05,-0.0004821537
1774382400058,-1.39771e-05,-0.0005236341
1774386000159,-1.494e-07,-0.0003023906
1774389600052,2.70072e-05,0.0007321148
1774393200069,6.25e-06,0.0001940511
1774396800048,6.25e-06,2.01716e-05
1774400400110,1.28193e-05,0.0005051083
1774404000086,6.25e-06,0.0003288743
1774407600069,6.25e-06,0.0002838632
1774411200059,6.25e-06,5.85072e-05
1774414800076,6.25e-06,0.0001821847
1774418400043,6.25e-06,0.0001658909
1774422000053,6.25e-06,0.0002263712
1774425600007,6.25e-06,0.0002353239
1774429200057,6.25e-06,0.0002022029
1774432800090,6.25e-06,7.10673e-05
1774436400018,6.25e-06,0.0001467325
1774440000038,6.25e-06,0.0001693037
1774443600032,6.25e-06,5.67314e-05
1774447200041,6.25e-06,5.30477e-05
1774450800062,6.25e-06,-0.0001843391
1774454400052,6.25e-06,-0.0001465186
1774458000022,6.25e-06,6.68233e-05
1774461600075,6.25e-06,0.0002085817
1774465200037,6.25e-06,0.0001076136
1774468800025,2.21743e-05,0.000654789
1774472400066,2.4018e-05,0.0006842879
1774476000023,-6.1762e-06,-0.0003988185
1774479600072,1.49965e-05,0.0005399448
1774483200035,1.05529e-05,0.0004688461
1774486800006,6.25e-06,0.0003920161
1774490400139,6.25e-06,0.0003859071
1774494000114,8.4226e-06,0.0004347618
1774497600110,6.25e-06,0.0002778051
1774501200097,6.25e-06,0.0001567548
1774504800014,6.25e-06,-2.38872e-05
1774508400009,6.25e-06,-5.25068e-05
1774512000094,6.25e-06,0.0001743387
1774515600075,6.25e-06,0.00013642
1774519200001,6.25e-06,-0.0001923733
1774522800072,-9.3873e-06,-0.0004501976
1774526400020,-1.6138e-06,-0.0003258202
1774530000078,-6.1615e-06,-0.0003985844
1774533600066,-6.5001e-06,-0.0004040016
1774537200018,-8.1205e-06,-0.0004299286
1774540800055,-1.25734e-05,-0.0005011738
1774544400026,-6.7569e-06,-0.0004081103
1774548000030,6.25e-06,-0.0001975017
1774551600003,6.25e-06,8.0431e-06
1774555200077,6.25e-06,-1.00727e-05
1774558800031,6.25e-06,-2.22311e-05
1774562400068,-1.01672e-05,-0.0004626747
1774566000071,6.25e-06,-0.0001270901
1774569600013,6.25e-06,5.07081e-05
1774573200004,6.25e-06,9.41762e-05
1774576800007,6.25e-06,7.09713e-05
1774580400045,6.25e-06,0.0001224671
1774584000027,6.25e-06,0.0001229678
1774587600055,6.25e-06,0.0002475785
1774591200021,6.25e-06,0.0002746388
1774594800047,6.25e-06,0.0002192311
1774598400042,6.25e-06,0.0002738133
1774602000078,6.25e-06,0.0002289287
1774605600011,6.25e-06,0.0001310109
1774609200056,6.25e-06,0.0001597321
1774612800073,6.25e-06,0.0002825623
1774616400020,6.25e-06,0.0002154806
1774620000027,6.25e-06,-8.99148e-05
1774623600082,6.25e-06,-0.0001781772
1774627200069,6.25e-06,-6.3936e-05
1774630800063,2.7892e-06,-0.0002553733
1774634400018,-2.1393e-05,-0.0006422876
1774638000017,-3.73965e-05,-0.0008983441
1774641600043,-3.98789e-05,-0.0009380619
1774645200064,-4.19853e-05,-0.0009717646
1774648800044,-3.10926e-05,-0.0007974817
1774652400008,-2.13676e-05,-0.0006418814
1774656000062,7.09239e-05,0.0014347831
1774659600004,5.37014e-05,0.0011592229
1774663200051,-9.5428e-06,-0.0004526847
1774666800023,-2.32605e-05,-0.0006721686
1774670400106,-1.19799e-05,-0.000491679
1774674000055,-5.5627e-06,-0.0003890028
1774677600067,6.25e-06,0.000258072
1774681200039,1.49409e-05,0.0005390541
1774684800007,1.90688e-05,0.0006051009
1774688400008,6.25e-06,0.0002851255
1774692000014,-1.16382e-05,-0.000486211
1774695600095,6.25e-06,-0.0001145751
1774699200014,6.25e-06,-1.66064e-05
1774702800013,6.25e-06,-7.28508e-05
1774706400047,3.30081e-05,0.0008281299
1774710000042,3.9531e-05,0.0009324966
1774713600047,6.25e-06,0.0003608204
1774717200074,-2.547e-06,-0.0003407513
1774720800070,-1.143e-05,-0.0004828799
1774724400007,5.63e-08,-0.0002990989
1774728000075,5.9498e-06,-0.0002048032
